Date,Open,High,Low,Close,Adj Close,Volume
2021-09-03,120.459999,121.680000,120.459999,121.129997,116.603119,1874700
2021-09-07,121.010002,121.010002,118.400002,118.739998,114.302437,2929300
2021-09-08,118.629997,119.930000,118.250000,119.739998,115.265060,2516500
2021-09-09,119.900002,120.809998,119.410004,119.449997,114.985893,2099700
2021-09-10,120.000000,120.000000,118.720001,118.839996,114.398689,1893800
2021-09-13,119.669998,120.599998,117.320000,118.550003,114.119530,2654700
2021-09-14,118.949997,119.330002,118.510002,119.260002,114.803009,1926400
2021-09-15,119.129997,119.720001,118.379997,118.760002,114.638908,3189400
2021-09-16,118.730003,119.269997,118.290001,118.930000,114.803009,2049900
2021-09-17,118.470001,118.739998,117.290001,117.699997,113.615677,4100800
2021-09-20,116.459999,117.540001,115.620003,116.830002,112.775879,2783800
2021-09-21,117.010002,117.980003,116.500000,116.739998,112.689003,2644100
2021-09-22,117.290001,117.529999,116.470001,116.910004,112.853096,2726100
2021-09-23,117.440002,119.250000,117.300003,118.910004,114.783714,2087500
2021-09-24,118.650002,119.910004,118.370003,119.739998,115.584892,1796300
2021-09-27,119.919998,119.919998,117.870003,118.639999,114.523064,2733800
2021-09-28,118.000000,118.290001,115.669998,116.550003,112.505592,2758900
2021-09-29,117.000000,118.300003,116.769997,116.900002,112.843445,2446800
2021-09-30,117.220001,117.690002,114.739998,114.820000,110.835640,2452500
2021-10-01,115.410004,116.190002,113.900002,115.400002,111.395500,2465500
2021-10-04,115.230003,116.220001,113.930000,114.699997,110.719795,2472500
2021-10-05,115.589996,118.500000,115.230003,118.080002,113.982506,2569500
2021-10-06,117.839996,122.680000,117.620003,122.620003,118.364952,4649300
2021-10-07,123.699997,127.059998,123.599998,126.400002,122.013794,3649200
2021-10-08,126.739998,128.229996,126.010002,128.100006,123.654816,2124000
2021-10-11,128.160004,129.380005,127.300003,127.570000,123.143188,2260900
2021-10-12,127.930000,128.770004,127.239998,127.540001,123.114235,2012000
2021-10-13,128.039993,128.610001,126.629997,128.350006,123.896118,1931000
2021-10-14,129.490005,129.669998,128.520004,128.750000,124.282242,2210900
2021-10-15,129.809998,129.809998,128.429993,129.389999,124.900047,2376100
2021-10-18,131.000000,131.360001,129.350006,130.300003,125.778458,2112100
2021-10-19,130.559998,131.160004,130.259995,130.910004,126.367279,1419100
2021-10-20,131.350006,131.740005,129.820007,130.220001,125.701233,1400600
2021-10-21,130.250000,130.559998,129.240005,129.610001,125.112396,1758900
2021-10-22,129.750000,131.860001,129.740005,131.600006,127.033348,1575800
2021-10-25,131.850006,133.229996,131.309998,133.039993,128.423370,1532200
2021-10-26,134.080002,135.820007,133.679993,133.720001,129.079773,2401300
2021-10-27,133.330002,134.710007,132.820007,132.960007,128.346146,2203400
2021-10-28,133.130005,138.000000,133.130005,135.490005,130.788376,3167000
2021-10-29,135.089996,138.820007,135.050003,138.460007,133.655304,2588800
2021-11-01,138.869995,139.330002,136.949997,137.130005,132.371445,1859100
2021-11-02,137.399994,139.789993,137.350006,138.809998,133.993164,2522100
2021-11-03,138.300003,138.970001,136.100006,137.190002,132.429367,2166900
2021-11-04,137.490005,138.320007,136.029999,136.520004,131.782623,3529100
2021-11-05,137.190002,137.990005,135.639999,136.080002,131.357880,2482700
2021-11-08,136.429993,136.770004,135.139999,135.750000,131.039322,2434300
2021-11-09,135.539993,135.970001,134.919998,135.479996,130.778702,2365800
2021-11-10,135.080002,135.550003,133.779999,134.210007,129.552765,2056200
2021-11-11,134.000000,134.660004,133.539993,134.000000,129.350082,1498700
2021-11-12,134.600006,135.399994,134.070007,135.289993,130.595306,3116100
2021-11-15,135.669998,136.149994,134.830002,135.289993,130.595306,1367200
2021-11-16,135.479996,136.800003,135.360001,136.070007,131.348267,1744000
2021-11-17,135.729996,136.509995,134.779999,136.270004,131.541290,1979400
2021-11-18,136.779999,136.860001,135.339996,135.369995,130.672501,1686300
2021-11-19,135.270004,135.320007,133.240005,133.300003,128.674347,2477200
2021-11-22,133.660004,134.779999,132.779999,132.979996,128.365417,1888400
2021-11-23,132.449997,132.889999,130.910004,132.050003,127.467728,2324900
2021-11-24,132.110001,132.589996,131.320007,132.270004,127.680084,2007700
2021-11-26,131.160004,132.210007,129.240005,129.679993,125.179955,1539100
2021-11-29,130.720001,132.610001,130.509995,131.899994,127.322914,2275100
2021-11-30,130.820007,132.570007,130.279999,130.720001,126.183884,4043600
2021-12-01,132.100006,132.960007,128.960007,129.020004,124.542877,2845400
2021-12-02,129.460007,132.539993,129.080002,131.220001,126.666534,2648800
2021-12-03,131.750000,132.039993,128.539993,130.190002,125.672295,2604600
